A01: STOMATOLOGIKA; Préparations stomatologiques
M02: TOPISCHE MITTEL GEGEN GELENK- UND MUSKELSCHMERZEN; Topiques pour douleurs articulaire et musculaire
M02AA: Nichtsteroidale Antiphlogistika zur topischen Anwendung; Anti-inflammatoires non stéroïdiens à usage topique
M02AA06: Etofenamat; Etofénamate
M02AA07: Piroxicam; Piroxicam
M02AA10: Ketoprofen; Kétoprofène
M02AA13: Ibuprofen; Ibuprofène
M02AA15: Diclofenac; Diclofénac
M02AA23: Indometacin; Indométacine
M02AB: Capsaicin und ähnliche Mittel; Préparations à base de capsicum et apparentés
M02AC: Zubereitungen mit Salicylsäure-Derivaten; Préparations avec des dérivés de l’acide salicylique
M03: MUSKELRELAXANZIEN; Myorelaxants
M03AB01: Suxamethonium; Suxaméthonium
M03AC03: Vecuronium; Vécuronium
M03AC04: Atracurium; Atracurium
M03AC09: Rocuroniumbromid; Rocuronium bromure
M03AC10: Mivacuriumchlorid; Mivacurium chlorure
M03AC11: Cisatracurium; Cisatracurium
M03BX01: Baclofen; Baclofène
M03BX02: Tizanidin; Tizanidine
M03BX04: Tolperison; Tolpérisone
M03CA01: Dantrolen; Dantrolène
M04: GICHTMITTEL; Antigoutteux
M04AA01: Allopurinol; Allopurinol
M04AB01: Probenecid; Probénécide
M05: MITTEL ZUR BEHANDLUNG VON KNOCHENERKRANKUNGEN; Médicaments pour le traitement des désordres osseux
M05BA02: Clodronsäure; Acide clodronique
M05BA03: Pamidronsäure; Acide pamidronique
M05BA04: Alendronsäure; Acide alendronique
M05BA06: Ibandronsäure; Acide ibandronique
M05BA07: Risedronsäure; Acide risédronique
M05BA08: Zoledronsäure; Acide zolédronique
M05BB: Bisphosphonate, Kombinationen; Biphosphonates et calcium, pour administration séquentielle
M05BC01: Dibotermin alfa; Dibotermine
M05BC02: Eptotermin alfa; Eptotermine alpha
M05BX02: Aluminiumhydroxychlorid; Aluminium chlorhydrate
M05BX04: Denosumab; Dénosumab
M09: ANDERE MITTEL GEGEN STÖRUNGEN DES MUSKEL- UND SKELETTSYSTEMS; Autres médicaments des désordres musculo-squelettiques
M09AB02: Kollagenase aus Clostridium histolyticum; Collagénase clostridium histolyticum
N: NERVENSYSTEM; Système nerveux
N01: ANÄSTHETIKA; Anesthésiques
N01AB06: Isofluran; Isoflurane
N01AB07: Desfluran; Desflurane
N01AB08: Sevofluran; Sévoflurane
N01AF03: Thiopental; Thiopental
N01AH01: Fentanyl; Fentanyl
N01AH02: Alfentanil; Alfentanil
N01AH03: Sufentanil; Sufentanil
N01AH06: Remifentanil; Rémifentanil
N01AX01: Droperidol; Dropéridol
N01AX03: Ketamin; Kétamine
N01AX07: Etomidate; Étomidate
N01AX10: Propofol; Propofol
N01AX13: Distickstoffmonoxid; Protoxyde d’azote
N01AX63: Distickstoffmonoxid, Kombinationen; Protoxyde d’azote en association
N01BA02: Procain; Procaïne
N01BA04: Chloroprocain; Chloroprocaïne
N01BB01: Bupivacain; Bupivacaïne
N01BB02: Lidocain; Lidocaïne
N01BB03: Mepivacain; Mépivacaïne
N01BB04: Prilocain; Prilocaïne
N01BB09: Ropivacain; Ropivacaïne
N01BB10: Levobupivacain; Lévobupivacaïne
N01BB20: Kombinationen; Associations
N01BB51: Bupivacain, Kombinationen; Bupivacaïne en association
N01BB52: Lidocain, Kombinationen; Lidocaïne en association
N01BB58: Articain, Kombinationen; Articaïne en association
N01BX01: Ethylchlorid; Chlorure d’éthyle
N01BX04: Capsaicin; Capsaïcine
N02: ANALGETIKA; Analgésiques
N02AA01: Morphin; Morphine
N02AA03: Hydromorphon; Hydromorphone
N02AA04: Nicomorphin; Nicomorphine
N02AA05: Oxycodon; Oxycodone
N02AA08: Dihydrocodein; Dihydrocodéine
N02AA55: Oxycodon, Kombinationen; Oxycodone en association
N02AA59: Codein, Kombinationen exkl. Psycholeptika; Codéine en association
N02AB02: Pethidin; Péthidine
N02AB03: Fentanyl; Fentanyl
N02AE01: Buprenorphin; Buprénorphine
N02AF02: Nalbufin; Nalbuphine
N02AX01: Tilidin; Tilidine
N02AX02: Tramadol; Tramadol
N02AX06: Tapentadol; Tapentadol
N02AX52: Tramadol, Kombinationen; Tramadol en association
N02BA01: Acetylsalicylsäure; Acétylsalicylique acide
N02BA51: Acetylsalicylsäure, Kombinationen exkl. Psycholeptika; Acétylsalicylique acide en association sauf aux psycholeptiques
N02BA65: Carbasalat calcium, Kombinationen exkl. Psycholeptika; Carbasalate calcique en association sauf aux psycholeptiques
N02BB02: Metamizol-Natrium; Métamizole sodique
N02BE01: Paracetamol; Paracétamol
N02BE51: Paracetamol, Kombinationen exkl. Psycholeptika; Paracétamol en association sauf aux psycholeptiques
N02BG08: Ziconotid; Ziconotide
N02CA01: Dihydroergotamin; Dihydroergotamine
N02CA52: Ergotamin, Kombinationen exkl. Psycholeptika; Ergotamine en association sauf aux psycholeptiques
N02CC01: Sumatriptan; Sumatriptan
N02CC02: Naratriptan; Naratriptan
N02CC03: Zolmitriptan; Zolmitriptan
N02CC04: Rizatriptan; Rizatriptan
N02CC06: Eletriptan; Élétriptan
N02CC07: Frovatriptan; Frovatriptan
N03: ANTIEPILEPTIKA; Anti-épileptiques
N03AA02: Phenobarbital; Phénobarbital
N03AA03: Primidon; Primidone
N03AB02: Phenytoin; Phénytoïne
N03AD01: Ethosuximid; Ethosuximide
N03AD03: Mesuximid; Mésuximide
N03AE01: Clonazepam; Clonazépam
N03AF01: Carbamazepin; Carbamazépine
N03AF02: Oxcarbazepin; Oxcarbazépine
N03AF03: Rufinamid; Rufinamide
N03AG01: Valproinsäure; Acide valproïque
N03AG04: Vigabatrin; Vigabatrin
N03AG06: Tiagabin; Tiagabine
N03AX03: Sultiam; Sultiame
N03AX09: Lamotrigin; Lamotrigine
N03AX10: Felbamat; Felbamate
N03AX11: Topiramat; Topiramate
N03AX12: Gabapentin; Gabapentine
N03AX14: Levetiracetam; Lévétiracétam
N03AX15: Zonisamid; Zonisamide
N03AX16: Pregabalin; Prégabaline
N03AX18: Lacosamid; Lacosamide
N03AX21: Retigabin; Rétigabine
N03AX22: Perampanel; 
N04: ANTIPARKINSONMITTEL; Antiparkinsoniens
N04AA02: Biperiden; Bipéridène
N04AA04: Procyclidin; Procyclidine
N04BA03: Levodopa, Decarboxylasehemmer und COMT-Hemmer; Lévodopa, inhibiteur de décarboxylase et inhibiteur COMT
N04BB01: Amantadin; Amantadine
N04BC01: Bromocriptin; Bromocriptine
N04BC04: Ropinirol; Ropinirole
N04BC05: Pramipexol; Pramipexole
N04BC06: Cabergolin; Cabergoline
N04BC07: Apomorphin; Apomorphine
N04BC09: Rotigotin; Rotigotine
N04BD01: Selegilin; Sélégiline
N04BX01: Tolcapon; Tolcapone
N05: PSYCHOLEPTIKA; Psycholeptiques
N05AA02: Levomepromazin; Lévomépromazine
N05AA03: Promazin; Promazine
N05AB03: Perphenazin; Perphénazine
N05AD01: Haloperidol; Halopéridol
N05AD05: Pipamperon; Pipampérone
N05AE03: Sertindol; Sertindole
N05AF01: Flupentixol; Flupentixol
N05AF03: Chlorprothixen; Chlorprothixène
N05AF05: Zuclopenthixol; Zuclopenthixol
N05AH02: Clozapin; Clozapine
N05AH03: Olanzapin; Olanzapine
N05AH04: Quetiapin; Quétiapine
N05AH05: Asenapin; Asénapine
N05AL01: Sulpirid; Sulpiride
N05AL03: Tiaprid; Tiapride
N05AL05: Amisulprid; Amisulpride
N05AN01: Lithium; Lithium
N05AX08: Risperidon; Rispéridone
N05AX12: Aripiprazol; Aripiprazole
N05AX13: Paliperidon; Palipéridone
N05BA01: Diazepam; Diazépam
N05BA04: Oxazepam; Oxazépam
N05BA05: Dikaliumclorazepat; Clorazépate potassique
N05BA06: Lorazepam; Lorazépam
N05BA08: Bromazepam; Bromazépam
N05BA09: Clobazam; Clobazam
N05BA10: Ketazolam; Kétazolam
N05BA11: Prazepam; Prazépam
N05BA12: Alprazolam; Alprazolam
N05BB01: Hydroxyzin; Hydroxyzine
N05CC01: Chloralhydrat; Chloral hydrate
N05CD01: Flurazepam; Flurazépam
N05CD02: Nitrazepam; Nitrazépam
N05CD03: Flunitrazepam; Flunitrazépam
N05CD05: Triazolam; Triazolam
N05CD06: Lormetazepam; Lormétazépam
N05CD07: Temazepam; Temazépam
N05CD08: Midazolam; Midazolam
N05CF01: Zopiclon; Zopiclone
N05CF02: Zolpidem; Zolpidem
N05CF03: Zaleplon; Zaléplon
N05CH01: Melatonin; Mélatonine
N05CM: Andere Hypnotika und Sedativa; Autres hypnotiques et sédatifs
N05CM02: Clomethiazol; Clométhiazole
N05CM18: Dexmedetomidin; Dexmédétomidine
N06: PSYCHOANALEPTIKA; Psychoanaleptiques
N06AA02: Imipramin; Imipramine
N06AA04: Clomipramin; Clomipramine
N06AA05: Opipramol; Opipramol
N06AA06: Trimipramin; Trimipramine
N06AA08: Dibenzepin; Dibenzépine
N06AA09: Amitriptylin; Amitriptyline
N06AA10: Nortriptylin; Nortriptyline
N06AA12: Doxepin; Doxépine
N06AA21: Maprotilin; Maprotiline
N06AB03: Fluoxetin; Fluoxétine
N06AB04: Citalopram; Citalopram
N06AB05: Paroxetin; Paroxétine
N06AB06: Sertralin; Sertraline
N06AB08: Fluvoxamin; Fluvoxamine
N06AB10: Escitalopram; Escitalopram
N06AG02: Moclobemid; Moclobémide
N06AX03: Mianserin; Miansérine
N06AX05: Trazodon; Trazodone
N06AX11: Mirtazapin; Mirtazapine
N06AX12: Bupropion; Bupropion
N06AX16: Venlafaxin; Venlafaxine
N06AX18: Reboxetin; Réboxetine
N06AX21: Duloxetin; Duloxétine
N06AX22: Agomelatin; Agomélatine
N06BA04: Methylphenidat; Méthylphénidate
N06BA07: Modafinil; Modafinil
N06BA09: Atomoxetin; Atomoxétine
N06BX03: Piracetam; Piracétam
N06CA01: Amitriptylin und Psycholeptika; Amitriptyline et psycholeptiques
N06CA02: Melitracen und Psycholeptika; Mélitracen et psycholeptiques
N06DA02: Donepezil; Donépézil
N06DA03: Rivastigmin; Rivastigmine
N06DA04: Galantamin; Galantamine
N06DX01: Memantin; Mémantine
N07: ANDERE MITTEL FÜR DAS NERVENSYSTEM; Autres médicaments du système nerveux
N07AA02: Pyridostigmin; Pyridostigmine
N07AA03: Distigmin; Distigmine
N07AA51: Neostigmin, Kombinationen; Néostigmine en association
N07AB02: Bethanechol; Béthanéchol
N07AX01: Pilocarpin; Pilocarpine
N07BA01: Nicotin; Nicotine
N07BA02: Bupropion; 
N07BA03: Vareniclin; Varénicline
N07BB01: Disulfiram; Disulfirame
N07BB03: Acamprosat; Acamprosate
N07BB04: Naltrexon; Naltrexone
N07BC02: Methadon; Méthadone
N07CA01: Betahistin; Bétahistine
N07CA02: Cinnarizin; Cinnarizine
N07CA03: Flunarizin; Flunarizine
N07CA52: Cinnarizin, Kombinationen; Cinnarizine en association
N07XX02: Riluzol; Riluzole
N07XX04: Natriumoxybat; Acide hydroxybutyrique
N07XX05: Amifampridin; Amifampridine
N07XX06: Tetrabenazin; Tétrabénazine
P: ANTIPARASITÄRE MITTEL, INSEKTIZIDE UND REPELLENZIEN; Antiparasitaires, insecticides
P01: MITTEL GEGEN PROTOZOEN-ERKRANKUNGEN; Antiprotozoaires
P01AB01: Metronidazol; Métronidazole
P01AX06: Atovaquon; Atovaquone
P01BA01: Chloroquin; Chloroquine
P01BA02: Hydroxychloroquin; Hydroxychloroquine
P01BB51: Proguanil, Kombinationen; Proguanil en association
P01BC01: Chinin; Quinine
P01BC02: Mefloquin; Méfloquine
P01BD01: Pyrimethamin; Pyriméthamine
P01CX01: Pentamidindiisetionat; Pentamidine iséthionate
P02: ANTHELMINTIKA; Antihelminthiques
P02CA01: Mebendazol; Mébendazole
P02CA03: Albendazol; Albendazole
P02CC01: Pyrantel; Pyrantel
P03: MITTEL GEGEN EKTOPARASITEN, INKL. ANTISCABIOSA, INSEKTIZIDE UND REPELLENZIEN; Antiparasitaires externes, incluant scabicides
P03AC04: Permethrin; Perméthrine
P03AX03: Malathion; Malathion
R: RESPIRATIONSTRAKT; Système respiratoire
R01: RHINOLOGIKA; Préparations nasales
R01AA04: Phenylephrin; Phényléphrine
R01AA05: Oxymetazolin; Oxymétazoline
R01AA07: Xylometazolin; Xylométazoline
R01AB01: Phenylephrin; Phényléphrine
R01AB06: Xylometazolin; Xylométazoline
R01AB08: Tuaminoheptan; Tuaminoheptane
R01AC01: Cromoglicinsäure; Cromoglicique acide
R01AC02: Levocabastin; Lévocabastine
R01AC03: Azelastin; Azélastine
R01AD01: Beclometason; Béclométasone
R01AD05: Budesonid; Budésonide
R01AD08: Fluticason; Fluticasone
R01AD09: Mometason; Mométasone
R01AD11: Triamcinolon; Triamcinolone
R01AD12: Fluticason furoat; Fluticasone
R01AD57: Tixocortol, Kombinationen; Tixocortol en association
R01AX02: Retinol; Rétinol
R01AX03: Ipratropiumbromid; Ipratropium
R01AX06: Mupirocin; Mupirocine
R01AX09: Hyaluronsäure; 
R01AX10: Verschiedene; Divers préparations nasales
R01AX30: Kombinationen; Associations pour préparations nasales
R01BA02: Pseudoephedrin; Pseudoéphédrine
R01BA53: Phenylephrin, Kombinationen; Phényléphrine en association
R02: HALS- UND RACHENTHERAPEUTIKA; Préparations pour la gorge
R02AA02: Dequalinium; Déqualinium
R02AA03: Dichlorbenzylalkohol; Dichlorobenzique alcool
R02AA05: Chlorhexidin; Chlorhexidine
R02AA06: Cetylpyridinium; Cétylpyridinium
R02AA20: Verschiedene; Divers antiseptiques pour la gorge
R02AB02: Tyrothricin; Tyrothricine
R02AB03: Fusafungin; Fusafungine
R02AX: Andere Hals- und Rachentherapeutika; 
R03: MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN; Antiasthmatiques
R03AC02: Salbutamol; Salbutamol
R03AC04: Fenoterol; Fénotérol
R03AC12: Salmeterol; Salmétérol
R03AC13: Formoterol; Formotérol
R03AC18: Indacaterol; Indacatérol
R03AK03: Fenoterol und andere Mittel bei obstruktiven Atemwegserkrankungen; Fénotérol et autres anti-asthmatiques
R03AK04: Salbutamol und andere Mittel bei obstruktiven Atemwegserkrankungen; Salbutamol et autres anti-asthmatiques
R03AK07: Formoterol und andere Mittel bei obstruktiven Atemwegserkrankungen; Formotérol et autres anti-asthmatiques
R03BA01: Beclometason; Béclométasone
R03BA02: Budesonid; Budésonide
R03BA05: Fluticason; Fluticasone
R03BA07: Mometason; Mométasone
R03BA08: Ciclesonid; Ciclésonide
R03BB01: Ipratropiumbromid; Ipratropium
R03BB04: Tiotropiumbromid; Tiotropium
R03BC01: Cromoglicinsäure; Cromoglicique acide
R03CA02: Ephedrin; Ephédrine
R03CC02: Salbutamol; Salbutamol
R03DA04: Theophyllin; Théophylline
R03DA05: Aminophyllin; Aminophylline
R03DC01: Zafirlukast; Zafirlukast
R03DC03: Montelukast; Montélukast
R03DX05: Omalizumab; Omalizumab
R03DX07: Roflumilast; Roflumilast
R05: HUSTEN- UND ERKÄLTUNGSPRÄPARATE; Médicaments du rhume et de la toux
R05CA: Expektoranzien; Expectorants
R05CA03: Guaifenesin; Guaïfénésine
R05CA10: Kombinationen; Associations d’expectorants
R05CB01: Acetylcystein; Acétylcystéine
R05CB02: Bromhexin; Bromhexine
R05CB03: Carbocistein; Carbocistéine
R05CB06: Ambroxol; Ambroxol
R05CB10: Kombinationen; 
R05CB13: Dornase alfa (Desoxyribonuclease); Dornase alfa (désoxyribonucléase)
R05CB15: Erdostein; Erdostéine
R05DA03: Hydrocodon; Hydrocodone
R05DA04: Codein; Codéine
R05DA07: Noscapin; Noscapine
R05DA09: Dextromethorphan; Dextrométhorphane
R05DA20: Kombinationen; Associations d’alcaloïdes de l’opium et dérivés
R05DB13: Butamirat; Butamirate
R05DB25: Morclofon; Morclofone
R05FA02: Opium-Derivate und Expektoranzien; Dérivés de l’opium et expectorants
R05X: ANDERE ZUBEREITUNGEN GEGEN ERKÄLTUNGSKRANKHEITEN; Autres médicaments du rhume
R06: ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG; Antihistaminiques à usage systémique
R06AA04: Clemastin; Clémastine
R06AA52: Diphenhydramin, Kombinationen; Diphénhydramine en association
R06AB03: Dimetinden; Dimétindène
R06AB04: Chlorphenamin; Chlorphénamine
R06AD03: Thiethylperazin; Thiéthylpérazine
R06AD08: Oxomemazin; Oxomémazine
R06AE07: Cetirizin; Cétirizine
R06AE09: Levocetirizin; Lévocétirizine
R06AX13: Loratadin; Loratadine
R06AX17: Ketotifen; Kétotifène
R06AX26: Fexofenadin; Fexofénadine
R06AX27: Desloratadin; Desloratadine
R06AX29: Bilastin; Bilastine
R07: ANDERE MITTEL FÜR DEN RESPIRATIONSTRAKT; Autres médicaments de l’appareil respiratoire
R07AA30: Kombinationen; Associations de surfactants pulmonaires
R07AX: Andere Mittel für den Respirationstrakt; Autres médicaments du système respiratoire
R07AX01: Stickoxid; Oxyde nitrique
S: SINNESORGANE; Organes sensoriels
S01: OPHTHALMIKA*; Médicaments ophtalmologiques
S01AA11: Gentamicin; Gentamicine
S01AA12: Tobramycin; Tobramycine
S01AA13: Fusidinsäure; Fusidique acide
S01AA30: Kombinationen von Antibiotika; Associations de différents antibiotiques
S01AX05: Bibrocathol; Bibrocathol
S01AX08: Hexamidin; Hexamidine
S01BA01: Dexamethason; Dexaméthasone
S01BA04: Prednisolon; Prednisolone
S01BA05: Triamcinolon; Triamcinolone
S01BA07: Fluorometholon; Fluorométholone
S01BA13: Rimexolon; Rimexolone
S01BC01: Indometacin; Indométacine
S01BC03: Diclofenac; Diclofénac
S01BC05: Ketorolac; Kétorolac
S01BC10: Nepafenac; Népafénac
S01CA01: Dexamethason und Antiinfektiva; Dexaméthasone et anti-infectieux
S01CA02: Prednisolon und Antiinfektiva; Prednisolone et anti-infectieux
S01CA07: Fluorometholon und Antiinfektiva; Fluorométholone et anti-infectieux
S01CC01: Diclofenac und Antiinfektiva; Diclofénac et anti-infectieux
S01EA03: Apraclonidin; Apraclonidine
S01EA05: Brimonidin; Brimonidine
S01EB01: Pilocarpin; Pilocarpine
S01EB02: Carbachol; Carbachol
S01EB09: Acetylcholin; Acétylcholine
S01EC01: Acetazolamid; Acétazolamide
S01EC03: Dorzolamid; Dorzolamide
S01EC04: Brinzolamid; Brinzolamide
S01ED01: Timolol; Timolol
S01ED02: Betaxolol; Bétaxolol
S01ED03: Levobunolol; Lévobunolol
S01ED05: Carteolol; Cartéolol
S01ED51: Timolol, Kombinationen; Timolol en association
S01EE01: Latanoprost; Latanoprost
S01EE03: Bimatoprost; Bimatoprost
S01EE04: Travoprost; Travoprost
S01EE05: Tafluprost; Tafluprost
S01FA01: Atropin; Atropine
S01FA02: Scopolamin; Scopolamine
S01FA04: Cyclopentolat; Cyclopentolate
S01FA06: Tropicamid; Tropicamide
S01FA56: Tropicamid, Kombinationen; Tropicamide en association
S01GA02: Tetryzolin; Tétryzoline
S01GA51: Naphazolin, Kombinationen; Naphazoline en association
S01GA52: Tetryzolin, Kombinationen; Tétryzoline en association
S01GX01: Cromoglicinsäure; Cromoglicique acide
S01GX02: Levocabastin; Lévocabastine
S01GX03: Spagluminsäure; Spaglumique acide
S01GX06: Emedastin; Emédastine
S01GX07: Azelastin; Azélastine
S01GX08: Ketotifen; Kétotifène
S01GX09: Olopatadin; Olopatadine
S01GX10: Epinastin; Epinastine
S01HA02: Oxybuprocain; Oxybuprocaïne
S01HA03: Tetracain; Tétracaïne
S01HA04: Proxymetacain; Proxymétacaïne
S01JA01: Fluorescein; Fluorescéine
S01JA51: Fluorescein, Kombinationen; Fluorescéine en association
S01KA51: Hyaluronsäure, Kombinationen; Hyaluronique acide en association
S01LA03: Pegaptanib; Pegaptanib
S01LA04: Ranibizumab; Ranibizumab
S01LA05: Aflibercept; Aflibercept
S01XA: Andere Ophthalmika; Autres médicaments ophtalmologiques
S01XA02: Retinol; Rétinol
S01XA03: Natriumchlorid, hyperton; Sodium chlorure, hypertonique
S01XA04: Kaliumiodid; Potassium iodure
S01XA12: Dexpanthenol; Dexpanthénol
S01XA20: Künstliche Tränen und andere indifferente Mittel; Larmes artificielles
S02: OTOLOGIKA; Médicaments otologiques
S02AA12: Rifamycin; Rifamycine
S02AA30: Antiinfektiva, Kombinationen; Anti-infectieux otologiques en association
S02CA03: Hydrocortison und Antiinfektiva; Hydrocortisone et anti-infectieux
S02CA06: Dexamethason und Antiinfektiva; Dexaméthasone et anti-infectieux
S02CA07: Fludrocortison und Antiinfektiva; Fludrocortisone et anti-infectieux
S02DA01: Lidocain; Lidocaïne
S02DA30: Kombinationen; Associations d’analgésiques et anesthésiques otologiques
S02DC: Indifferente Zubereitungen; Autres médicaments otologiques
V: VARIA; Divers
V01: ALLERGENE; Allergènes
V01AA: Allergen-Extrakte; Extraits d’allergènes
V01AA02: Gräserpollen; Pollen d’herbe
V01AA05: Baumpollen; Pollen d’arbre
V03: ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL; Tous autres médicaments
V03AB: Antidote; Antidotes
V03AB13: Obidoxim; Obidoxime
V03AB14: Protamin; Protamine
V03AB15: Naloxon; Naloxone
V03AB21: Kaliumiodid; Potassium iodure
V03AB23: Acetylcystein; Acétylcystéine
V03AB25: Flumazenil; Flumazénil
V03AB26: Methionin; Méthionine
V03AB33: Hydroxocobalamin; Hydroxocobalamine
V03AB35: Sugammadex; Sugammadex
V03AC01: Deferoxamin; Déféroxamine
V03AC02: Deferipron; Défériprone
V03AC03: Deferasirox; Déférasirox
V03AE01: Polystyrolsulfonat; Sulfonate de polystyrène
V03AE02: Sevelamer; Sevelamer
V03AE03: Lanthan(III)-carbonat; Lanthanum carbonate
V03AF01: Mesna; Mesna
V03AF03: Calciumfolinat; Folinate de calcium
V03AF05: Amifostin; Amifostine
V03AF07: Rasburicase; Rasburicase
V03AF08: Palifermin; Palifermine
V04: DIAGNOSTIKA; Médicaments pour diagnostic
V04CD01: Metyrapon; Métyrapone
V04CD05: Somatorelin; Somatoréline
V04CF01: Tuberkulin; Tuberculine
V04CH02: Indigokarmin; Carmin indigo
V04CL: Allergie-Tests; Tests pour les affections allergiques
V04CX: Andere Diagnostika; Autres médicaments pour diagnostic
V07: ALLE ÜBRIGEN NICHTTHERAPEUTISCHEN MITTEL; Tous autres produits non thérapeutiques
V07AB: Lösungs- und Verdünnungsmittel, inkl. Spüllösungen; Solvants et diluants, solutions d’irrigation incluses
V08: KONTRASTMITTEL; Produits de contraste
V08AA01: Amidotrizoesäure; Diatrizoïque acide
V08AA05: Ioxitalaminsäure; Ioxitalamique acide
V08AB02: Iohexol; Iohexol
V08AB03: Ioxaglinsäure; Ioxaglique acide
V08AB04: Iopamidol; Iopamidol
V08AB05: Iopromid; Iopromide
V08AB07: Ioversol; Ioversol
V08AB09: Iodixanol; Iodixanol
V08AB10: Iomeprol; Ioméprol
V08AB11: Iobitridol; Iobitridol
V08AD01: Ethylester iodierter Fettsäuren; Esters éthyliques d’acides gras iodés
V08BA01: Bariumsulfat mit Suspensionsmittel; Sulfate de baryum avec agents de mise en suspension
V08CA: Paramagnetische Kontrastmittel; Produits de contraste paramagnétiques
V08CA01: Gadopentetsäure; Gadopentétique acide
V08CA02: Gadotersäure; Gadotérique acide
V08CA03: Gadodiamid; Gadodiamide
V08CA04: Gadoteridol; Gadotéridol
V08CA09: Gadobutrol; Gadobutrol
V08CA10: Gadoxetsäure; Gadoxétique acide
V08DA05: Schwefelhexafluorid; Soufre hexafluorure
V09: RADIODIAGNOSTIKA; Produits radiopharmaceutiques à usage diagnostique
V09AB03: [123I]Iod-Ioflupan; 123I-Iode ioflupane
V09BA: [99mTc]Technetium-Verbindungen; Dérivés du 99mTc-Technetium
V09DB01: [99mTc]Technetium-Nanokolloid; 99mTc-Technetium nanocolloïdes
V09EB01: [99mTc]Technetium-Macrosalb; 99mTc-Technetium macrosalb
V09GA01: [99mTc]Technetiumsestamibi; 99mTc-Technetium sestamibi
V09GA02: [99mTc]Technetiumtetrofosmin; 99mTc-Technetium tétrofosmine
V09GB02: [125I]Iod-Humanalbumin; 125I-Iode albumine humaine
V10: RADIOTHERAPEUTIKA; Produits radiopharmaceutiques à usage thérapeutique
V10AA01: [90Y]Yttriumcitrat-Kolloid; 90 Y-Yttrium colloïde de citrate
V10AX05: [186Re]Rheniumsulfid-Kolloid; 186Re-Rhenium colloïde de sulfure
V10BX01: [89Sr]Strontiumchlorid; 89Sr-Strontium chlorure
V10BX02: [153Sm]Samariumlexidronam; 153Sm-Samarium lexidronam
V10X: ANDERE RADIOTHERAPEUTIKA; Autres produits radiopharmaceutiques à usage thérapeutique
V10XA01: [131I]Natriumiodid; 131I -Iode sodium iodide
V10XX02: [90Y]Ibritumomab tiuxetan; 90Y-Ibritumomab tiuxetan
